
> web@0.1.0 dev
> next dev

▲ Next.js 16.2.2 (Turbopack)
- Local:         http://localhost:3001
- Network:       http://192.168.18.9:3001
- Environments: .env.local
✓ Ready in 678ms
Creating turbopack project {
  dir: 'D:\\My Work\\hrm-dijipeople\\DijiPeople\\dijipeople\\apps\\web',
  testMode: true
}

 GET /login?next=%2Fdashboard%2Fonboarding 200 in 289ms (next.js: 19ms, proxy.ts: 56ms, application-code: 214ms)
 GET /login?next=%2Fdashboard%2Fonboarding 200 in 288ms (next.js: 56ms, proxy.ts: 58ms, application-code: 174ms)
 GET /login?next=%2Fdashboard%2Fonboarding 200 in 332ms (next.js: 16ms, proxy.ts: 94ms, application-code: 221ms)
 GET /login?next=%2Fdashboard%2Fonboarding 200 in 354ms (next.js: 11ms, proxy.ts: 52ms, application-code: 291ms)
 GET /login?next=%2Fdashboard%2Fonboarding 200 in 348ms (next.js: 16ms, proxy.ts: 53ms, application-code: 279ms)
 GET /login?next=%2Fdashboard%2Fonboarding 200 in 306ms (next.js: 55ms, proxy.ts: 15ms, application-code: 235ms)
 GET /login?next=%2Fdashboard%2Fonboarding 200 in 341ms (next.js: 67ms, proxy.ts: 54ms, application-code: 221ms)
 GET /login?next=%2Fdashboard%2Fonboarding 200 in 308ms (next.js: 59ms, proxy.ts: 65ms, application-code: 185ms)
 GET /login?next=%2Fdashboard%2Fonboarding 200 in 309ms (next.js: 12ms, proxy.ts: 71ms, application-code: 226ms)
 GET /login?next=%2Fdashboard%2Fonboarding 200 in 324ms (next.js: 16ms, proxy.ts: 48ms, application-code: 260ms)
 GET /login?next=%2Fdashboard%2Fonboarding 200 in 457ms (next.js: 15ms, proxy.ts: 53ms, application-code: 389ms)
 GET /login?next=%2Fdashboard%2Fonboarding 200 in 456ms (next.js: 21ms, proxy.ts: 57ms, application-code: 378ms)
 GET /login?next=%2Fdashboard%2Fonboarding 200 in 464ms (next.js: 54ms, proxy.ts: 63ms, application-code: 347ms)
 GET /login?next=%2Fdashboard%2Fonboarding 200 in 416ms (next.js: 89ms, proxy.ts: 15ms, application-code: 312ms)
 GET /login?next=%2Fdashboard 200 in 388ms (next.js: 85ms, proxy.ts: 50ms, application-code: 253ms)
 GET /login?next=%2Fdashboard 200 in 379ms (next.js: 13ms, proxy.ts: 75ms, application-code: 292ms)
 GET /login?next=%2Fdashboard 200 in 354ms (next.js: 20ms, proxy.ts: 61ms, application-code: 274ms)
 GET /login?next=%2Fdashboard 200 in 348ms (next.js: 58ms, proxy.ts: 16ms, application-code: 274ms)
 GET /login?next=%2Fdashboard 200 in 345ms (next.js: 57ms, proxy.ts: 59ms, application-code: 229ms)
 GET /login?next=%2Fdashboard 200 in 303ms (next.js: 57ms, proxy.ts: 55ms, application-code: 190ms)
 GET /login?next=%2Fdashboard 200 in 268ms (next.js: 10ms, proxy.ts: 35ms, application-code: 223ms)
 GET /login?next=%2Fdashboard 200 in 335ms (next.js: 17ms, proxy.ts: 45ms, application-code: 274ms)
 GET /login?next=%2Fdashboard 200 in 300ms (next.js: 19ms, proxy.ts: 15ms, application-code: 265ms)
 GET /login?next=%2Fdashboard 200 in 291ms (next.js: 64ms, proxy.ts: 15ms, application-code: 212ms)
 GET /login?next=%2Fdashboard 200 in 334ms (next.js: 55ms, proxy.ts: 63ms, application-code: 216ms)
 GET /login?next=%2Fdashboard 200 in 336ms (next.js: 92ms, proxy.ts: 64ms, application-code: 180ms)
 GET /login?next=%2Fdashboard 200 in 330ms (next.js: 12ms, proxy.ts: 93ms, application-code: 225ms)
 GET /login?next=%2Fdashboard 200 in 361ms (next.js: 13ms, proxy.ts: 57ms, application-code: 290ms)
 GET /login?next=%2Fdashboard 200 in 373ms (next.js: 17ms, proxy.ts: 56ms, application-code: 300ms)
 GET /login?next=%2Fdashboard 200 in 333ms (next.js: 55ms, proxy.ts: 14ms, application-code: 264ms)
 GET /login?next=%2Fdashboard 200 in 379ms (next.js: 16ms, proxy.ts: 90ms, application-code: 272ms)
 GET /login?next=%2Fdashboard 200 in 345ms (next.js: 50ms, proxy.ts: 56ms, application-code: 239ms)
 GET /login?next=%2Fdashboard 200 in 359ms (next.js: 15ms, proxy.ts: 85ms, application-code: 258ms)
 GET /login?next=%2Fdashboard 200 in 389ms (next.js: 14ms, proxy.ts: 71ms, application-code: 303ms)
 GET /login?next=%2Fdashboard 200 in 394ms (next.js: 15ms, proxy.ts: 65ms, application-code: 314ms)
 GET /login?next=%2Fdashboard 200 in 349ms (next.js: 62ms, proxy.ts: 19ms, application-code: 268ms)
 GET /login?next=%2Fdashboard 200 in 344ms (next.js: 17ms, proxy.ts: 59ms, application-code: 268ms)
 GET /login?next=%2Fdashboard 200 in 347ms (next.js: 61ms, proxy.ts: 59ms, application-code: 227ms)
 GET /login?next=%2Fdashboard 200 in 394ms (next.js: 14ms, proxy.ts: 75ms, application-code: 305ms)
 GET /login?next=%2Fdashboard 200 in 436ms (next.js: 14ms, proxy.ts: 79ms, application-code: 343ms)
 GET /login?next=%2Fdashboard 200 in 404ms (next.js: 25ms, proxy.ts: 54ms, application-code: 325ms)
 GET /login?next=%2Fdashboard 200 in 366ms (next.js: 85ms, proxy.ts: 20ms, application-code: 261ms)
 GET /login?next=%2Fdashboard 200 in 338ms (next.js: 18ms, proxy.ts: 82ms, application-code: 238ms)
 GET /login?next=%2Fdashboard 200 in 341ms (next.js: 60ms, proxy.ts: 78ms, application-code: 203ms)
